Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
360 HOMEO CARE CLINIC,"Shop No. 3, Ganpati Complex, Plot No. 105, Nerul East, Sector 27, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 27,Nerul,Navi Mumbai,Maharashtra,400706,,5,152,"doctor, skin_care_clinic, medical_clinic, health, point_of_interest, establishment",19.0233747,73.02481279999999,localisy02064,ChIJJ7BO27vD5zsR5gojXPq2DJ4,photos\localisy01044_1.jpg,,,,,Homeopathy,
Way2Cure Homeopathy Kharghar Sector 11,"Shop no 2, Siddhi CHS Siddhi CHS, Shop 2, Block G, Sector 11, Kharghar, Panvel, Maharashtra 410210, India",Sector 11,Kharghar,Panvel,Maharashtra,410210,+91 77386 61854,5,197,"health, point_of_interest, establishment",19.0390742,73.069332,localisy02067,ChIJvVPgKj3D5zsRXxEWD5ggyjE,photos\localisy01074_1.jpg,,,,,Homeopathy,
Dr.Leena Suryawanshi,"Kamladevi birajdar road Sawant nursing home, Nerul East, Sector 19, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 19,Nerul,Navi Mumbai,Maharashtra,400706,+91 90046 11191,4.9,67,"doctor, skin_care_clinic, beauty_salon, medical_clinic, hair_care, consultant, service, health, point_of_interest, establishment",19.0311662,73.02207589999999,localisy02069,ChIJcUPDInPD5zsR7mAUDbjgf3I,photos\localisy01046_1.jpg,,,,,Homeopathy,
Natural Life Medical,"Shop number 1 plot Number 77 Progressive villa Sector 19 Near bus stop, n, Belapur Village, Sector 19, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",Sector 19,CBD Belapur,Navi Mumbai,Maharashtra,400614,,5,3,"pharmacy, health, store, point_of_interest, establishment",19.0150674,73.0337739,localisy02071,ChIJMQXcl67D5zsRiwzl-WjxYKA,,,,,,Homeopathy,
Dr Batra’s Homeopathy Clinic,"No 101 & 103, 1st Floor, Plot No 101, near D Mart, Nerul East, Sector 21, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 21,Nerul,Navi Mumbai,Maharashtra,400706,+91 70450 06060,4.6,1058,"skin_care_clinic, medical_clinic, doctor, service, health, point_of_interest, establishment",19.0310537,73.0217795,localisy02072,ChIJO0iCx8DD5zsRiEL-cOcCoeA,photos\localisy13889_1.jpg,,,,,Homeopathy,
Shree Swami Samarth Clinic,"A-144, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",Sector 11,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 93207 64011,4.4,7,"doctor, health, point_of_interest, establishment",19.0171418,73.0385323,localisy02074,ChIJVVVVHK3D5zsRWy_9NhrHcEs,photos\localisy01049_1.jpg,,,,,Homeopathy,
"Dr. Hawa, Homeopathy","Shop no.11, Bhagwati Eminence, Plot No. 7 & 7A, Bhimashankar CHS, Sector 13, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 13,Nerul,Navi Mumbai,Maharashtra,400706,+91 98691 20520,4.6,62,"drugstore, pharmacy, medical_center, medical_clinic, hospital, consultant, doctor, service, health, store, point_of_interest, establishment",19.0341672,73.02646179999999,localisy02076,ChIJ4eQrXpLD5zsRWJ3QH_Xk7bc,photos\localisy01050_1.jpg,,,,,Homeopathy,
Dr yogita's thyroid homoeopathy clinic,"Shop no. 03, Primier Residency, plot 1/2/2A, Sector 14 Rd, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",Taloja Panchanand,Taloja,Panvel,Maharashtra,410208,+91 96531 05538,4.6,12,"medical_clinic, health, point_of_interest, establishment",19.0770631,73.0935038,localisy02080,ChIJZ-Kog0fr5zsRjz2zDhMtwAc,photos\localisy01052_1.jpg,,,,,Homeopathy,
Sattva Homoeopathy multispeciality clinic | Dr.Gaurav Thakur,"Shop No. 12, Ground Floor The Pacific, Block G, Sector 13, Kharghar, Panvel, Maharashtra 410210, India",Sector 13,Kharghar,Panvel,Maharashtra,410210,+91 77984 44559,4.9,63,"skin_care_clinic, medical_clinic, doctor, health, point_of_interest, establishment",19.0469302,73.07010509999999,localisy02081,ChIJGx9HPRvC5zsRoi-CSfnfHww,photos\localisy10791_1.jpg,,,,,Homeopathy,
Mahek Homoeopathy Clinic,"Shop No: 1, Metro point, plot 40, Taloja Phase 1 Rd, near pethal metro station, Petali, Taloja Panchanand, sector-11, Taloja, Panvel, Maharashtra 410208, India",sector-11,Taloja,Panvel,Maharashtra,410208,+91 77384 99244,5,13,"doctor, health, point_of_interest, establishment",19.0748225,73.0918129,localisy02082,ChIJU8wfesHr5zsRmzyKSKTmLQI,photos\localisy01053_1.jpg,,,,,Homeopathy,
Regional Research Institute of Homoeopathy Medicine,"RRIH & RRIU, Plot 38 & 39, Sector 18, Kharghar, Panvel, Maharashtra 410210, India",Sector 18,Kharghar,Panvel,Maharashtra,410210,+91 86528 71023,4.1,35,"hospital, service, health, point_of_interest, establishment",19.0460298,73.0788432,localisy02083,ChIJT5_SO0nD5zsRZ9ZYcE7sb54,photos\localisy13880_1.jpg,,,,,Homeopathy,
Shree Ekveera Homoeopathic And Spagyric Centre,"33Hr+Mfw Navi, Blue Fig Tower, At, Taloja Phase 1 Rd, Petali, Taloja Panchanand, Taloja, Mumbai, Panvel, Maharashtra 410208, India",Taloja,Taloja,Panvel,Maharashtra,410208,+91 93230 31558,5,1,"medical_clinic, health, point_of_interest, establishment",19.0788141,73.092523,localisy02085,ChIJ97IOqQvq5zsRpevN55j6m68,,,,,,Homeopathy,
SweetPills Homeopathy Clinics – Seawoods (Best Homeopathy Doctor in Navi Mumbai),"Shop No 25, Ground floor, Seawoods Corner CHS, opp. Railway Station, Seawoods East, Nerul East, Sector 25, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 25,Nerul,Navi Mumbai,Maharashtra,400706,+91 97736 22313,5,35,"consultant, doctor, service, health, point_of_interest, establishment",19.0232165,73.0204214,localisy02087,ChIJKfO0c77D5zsRs2vwqTtbIJ8,photos\localisy13891_1.jpg,,,,,Homeopathy,
Dr. Safiya's Homoeopathy,"Shelter riverside, Sector 14 Rd, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",Taloja Panchanand,Taloja,Panvel,Maharashtra,410208,,3.9,7,"doctor, health, point_of_interest, establishment",19.0757638,73.0947572,localisy02091,ChIJmeUOP0Tr5zsRcbpxn7sLjP8,photos\localisy01056_1.jpg,,,,,Homeopathy,
Dr. V. P. JOSHI :CLASSICAL HOMOEOPATHY Treatment Clinic Dr. V. P. Joshi,"Shop 4, near Utsaw Chowk Perimeter Road, Sector-5, Kharghar, Panvel, Maharashtra 410210, India",Sector-5,Kharghar,Panvel,Maharashtra,410210,+91 98339 94223,4.9,15,"health, point_of_interest, establishment",19.0365534,73.05960879999999,localisy02092,ChIJq6rd3T7C5zsRla8F0pbMA5o,photos\localisy01056_1.jpg,,,,,Homeopathy,
Sanjeevani,"Office no. 13, 1st Floor, Lakhani Palm View Building, Sector 48, Nerul (W), Sector-48, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector-48,Seawoods,Navi Mumbai,Maharashtra,400706,+91 98204 41975,5,131,"health, point_of_interest, establishment",19.0128609,73.0139155,localisy02094,ChIJp2ReIJnD5zsR74rinF5LT2A,photos\localisy01058_1.jpg,,,,,Homeopathy,
Way2Cure Homeopathy Kharghar Sector 35,"Shop No 5, Green Field CHS, Sector 35-I, Sector 35I, Kharghar, Panvel, Maharashtra 410210, India",Sector 35I,Kharghar,Panvel,Maharashtra,410210,+91 77386 61854,5,69,"health, point_of_interest, establishment",19.0729262,73.0725106,localisy02095,ChIJUYSQEeXB5zsRpyk16syQdnY,photos\localisy01058_1.jpg,,,,,Homeopathy,
MUKTA HOMOEOPATHY CLINIC,"Shop Number 10, Laxcon Plaza, Nerul East, Sector 11, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 11,Nerul,Navi Mumbai,Maharashtra,400706,,4.9,35,"medical_clinic, health, point_of_interest, establishment",19.0375523,73.019036,localisy02096,ChIJ8_GWsPnD5zsR5oUqBVl6Wbs,photos\localisy01059_1.jpg,,,,,Homeopathy,
Dr Bhoir'S Mind Homeopathic Health Center 2,"Sector 18, Pramukh Narayan Building, Plot No 8, Taloja Panchanand, Taloja Phase 2, Taloja, Panvel, Maharashtra 410208, India",Taloja Phase 2,Taloja,Panvel,Maharashtra,410208,+91 87796 41313,5,4,"medical_clinic, health, point_of_interest, establishment",19.0717794,73.09649069999999,localisy02098,ChIJs66v13rr5zsRF4WggJ4rl48,photos\localisy01059_1.jpg,,,,,Homeopathy,
Dr Ayesha Bagdadi ( Homeopathy Clinic ),"NL-4/1/3, opp. Shivaji Statue, Nerul East, Sector 15, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 15,Nerul,Navi Mumbai,Maharashtra,400706,,5,7,"health, point_of_interest, establishment",19.0370237,73.0201646,localisy02099,ChIJgex1onnD5zsR_FGbOD5v4Iw,photos\localisy01060_1.jpg,,,,,Homeopathy,
Best Family Physician and Homeopath - Dr. Saumya Awasthi - Family Arogya clinic,"Dev Sai Garden, shop no. 3, plot, no. 160E/160F, Navde, Panvel, Maharashtra 410206, India",no. 160E/160F,Panvel,Panvel,Maharashtra,410206,+91 90826 07592,5,40,"doctor, health, point_of_interest, establishment",19.0531045,73.1026681,localisy02101,ChIJ0UJDRtDp5zsRMIqpg8Xd56I,photos\localisy00792_1.jpg,,,,,Homeopathy,
Amber Homeopathy clinic - Kharghar,"no. 4, Suryaprabha chs, plot, Shilp Chowk, near Shivsena office, Sector 20, Kharghar, Panvel, Maharashtra 410210, India",Sector 20,Kharghar,Panvel,Maharashtra,410210,+91 72762 09812,4.8,215,"doctor, health, point_of_interest, establishment",19.0480497,73.07113679999999,localisy02102,ChIJrS9TIhrC5zsRnj872r5KvQo,photos\localisy04407_1.jpg,,,,,Homeopathy,
