Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
S. J Enterprises water suppliers,"401, III, & 149, Zion Mount, Plot. 148, Sector 34, Kamothe, Panvel, Maharashtra 410209, India",Sector 34,Kamothe,Panvel,Maharashtra,410209,+91 79772 92782,,,"wholesaler, point_of_interest, establishment",19.0208318,73.08626129999999,localisy18176,ChIJNblPNwDD5zsRCUQmFS2snVQ,,,,,,Suppliers,
Mauli Electricals,"Shop No 13, Amrut Well complex, Plot No 10A, Sector 7 Kamothe, Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel, Maharashtra 410209, India",Sector 7,Kamothe,Panvel,Maharashtra,410209,,4.3,8,"building_materials_store, store, point_of_interest, establishment",19.0234593,73.09220599999999,localisy18181,ChIJUcvNQdfp5zsRqnFa2_22isU,photos\localisy20032_1.jpg,,,,,Suppliers,
Water Buddy,"Shop No 35, Grandeur Society, near Central bank of India, Sector 20, Kamothe, Panvel, Navi Mumbai, Panvel, Maharashtra 410209, India",Panvel,Kamothe,Panvel,Maharashtra,410209,+91 72082 93070,5,5,"supplier, store, point_of_interest, establishment",19.01563,73.0948649,localisy18186,ChIJHwYjhJLp5zsRUfcW04FFTjQ,photos\localisy20037_1.jpg,,,,,Suppliers,
saraswati impex,"24C2+9FG, Mumbai Hwy, Sector 1, Kalamboli, Panvel, Maharashtra 410209, India",Sector 1,Kalamboli,Panvel,Maharashtra,410218,,3.4,5,"manufacturer, point_of_interest, establishment",19.0209322,73.10121199999999,localisy18187,ChIJk56L1-Hp5zsRpTMDAM6oC3I,,,,,,Suppliers,
NDSK BROTHERS - Industrial Supplier,"Ground Floor, Ganga Galaxy, Plot No.80 & 81, Sector 22, opposite Riddhi Siddhi Regency, Phase II, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",Sector 22,Kamothe,Panvel,Maharashtra,410209,+91 96230 25168,5,1,"manufacturer, supplier, point_of_interest, establishment",19.014296,73.0999224,localisy18189,ChIJP3t64SHp5zsRWPZAX48ItM4,photos\localisy20039_1.jpg,,,,,Suppliers,
"Pradhanmantri Bhartiya Janaaushdhi Kendra, Kamothe","Shop No.01, Sec -06A, Sheetal Chaya Chs, Plot No.50B & 51A, Kamothe, Sector 6A, Kamothe, Panvel, Maharashtra 410209, India",Sector 6A,Kamothe,Panvel,Maharashtra,410209,+91 89766 59943,3.4,5,"store, health, point_of_interest, establishment",19.0245506,73.093878,localisy18191,ChIJyYuB2ebp5zsR7d55nhhQ0fk,photos\localisy20040_1.jpg,,,,,Suppliers,
Kitchen Pulse,"Shop No 1, Sai Charan Co Hsg, Plot No - 106, 107, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",Sector 21,Kamothe,Panvel,Maharashtra,410209,+91 90827 36776,5,3,"point_of_interest, establishment",19.0145131,73.098792,localisy18192,ChIJRXqOkIzp5zsRUMP1IDCOX20,,,,,,Suppliers,
Amee Metals Private Limited.,"No.98/127, Jawhar Co-Operative Industrial Limited,, Kamothe, Panvel, Jawahar Co-op Ind, Kamothe, Panvel, Maharashtra 410209, India",Jawahar Co-op Ind,Kamothe,Panvel,Maharashtra,410209,+91 80 4897 6345,3,1,"supplier, point_of_interest, establishment",19.0205693,73.0989744,localisy18194,ChIJq6Btfmno5zsRtJE8xCmPZqc,photos\localisy20042_1.jpg,,,,,Suppliers,
Gk aluminium,"Kamothe sector 22, shop no 08, sree ji palm, Phase II, New Panvel, Kamothe, Panvel, Maharashtra 410209, India",New Panvel,Kamothe,Panvel,Maharashtra,410209,,5,2,"building_materials_store, store, point_of_interest, establishment",19.0146053,73.09940430000002,localisy18195,ChIJBW7Tq9Lp5zsRuReSAytcjOE,photos\localisy20043_1.jpg,,,,,Suppliers,
Renuka wholesale farsan and wafers,"Shop no 1, Renuka wholesale farsan, chaturth appartment, plot no 33, Sector 12, opposite to Mansarovar Complex, Sector 12, Kamothe, Panvel, Navi Mumbai, Panvel, Maharashtra 410209, India",Panvel,Kamothe,Panvel,Maharashtra,410209,+91 86523 14101,4.8,50,"snack_bar, meal_takeaway, confectionery, wholesaler, manufacturer, food_store, supplier, store, restaurant, food, point_of_interest, establishment",19.0180144,73.087499,localisy18201,ChIJA3rqWejD5zsREBjjPp_SBZQ,photos\localisy17262_1.jpg,,,,,Suppliers,
Alright by EZ-KleanS Solutions,"Shop No 5, Haware Nirmiti, Plot 15, Phase II, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",Sector 22,Kamothe,Panvel,Maharashtra,410209,+91 81085 67993,5,1,"manufacturer, supplier, point_of_interest, establishment",19.0138453,73.1021002,localisy18203,ChIJZT4KrLnp5zsRanL6Eb39rg0,,,,,,Suppliers,
