Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
ByHeart PathLabs Blood Collection Centre Sector 36 Kamothe Navi Mumbai,"Shop no. 07, Soormalhar CHS, Plot no. 43, opposite Tukaram Maharaj Temple, Nirmala CHS, Sector 36, Kamothe, Panvel, Maharashtra 410209, India",Sector 36,Kamothe,Panvel,Maharashtra,410209,+91 74002 94199,4.9,33,"doctor, health, point_of_interest, establishment",19.023974,73.088787,localisy14753,ChIJC6rUH8rp5zsR-sn0KicCLPE,photos\localisy13643_1.jpg,,,,,Diagnostic Centers,
Thyrocare Aarogyam Center,"Shop No. 3, Sai Villa, Plot No. 82, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",Sector 21,Kamothe,Panvel,Maharashtra,410209,+91 80748 35966,4.2,11,"medical_clinic, health, point_of_interest, establishment",19.014022,73.0946297,localisy14754,ChIJYeix0Kbp5zsRvMyqNaza6wE,photos\localisy13644_1.jpg,,,,,Diagnostic Centers,
Kaushalya Diagnostic Blood Lab.,"A-1, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",Sector 22,Kamothe,Panvel,Maharashtra,410209,,5,12,"health, point_of_interest, establishment",19.014364,73.10338399999999,localisy14755,ChIJ2_hFDQDp5zsRAD6zRBWsWd4,photos\localisy13645_1.jpg,,,,,Diagnostic Centers,
Metrocare Polyclinic & Diagnostic,"Shop No 3, Grandeur Blg, Plot 33 And 34, Sect 20, Kamothe, Panvel, Maharashtra 410209, India",Sect 20,Kamothe,Panvel,Maharashtra,410209,+91 91460 80199,4.7,15,"wellness_center, health, point_of_interest, establishment",19.0153379,73.0952891,localisy14756,ChIJT0kpZ8fp5zsRMTKdkGOlrSs,photos\localisy13646_1.jpg,,,,,Diagnostic Centers,
Impact Diagnostic,"F-45/32, Kamal Kunj, 33, Shiwaji Chowk, Block G, Sector 12, Kharghar, Panvel, Maharashtra 410210, India",Sector 12,Kharghar,Panvel,Maharashtra,410210,+91 22 2774 3238,3.4,72,"medical_clinic, health, point_of_interest, establishment",19.0428297,73.06732459999999,localisy14757,ChIJP8QZ_hbC5zsRfI6uVk3i8g0,photos\localisy13650_1.jpg,,,,,Diagnostic Centers,
Sonoplus Diagnostic Centre,"Shop No. 5-6, Ground Floor, Manorama Tower, Hatole Gaothan, Sector 10, Nerul, W, Navi Mumbai, Maharashtra 400706, India",Nerul,Nerul,Navi Mumbai,Maharashtra,400706,+91 70304 02001,4.5,239,"medical_clinic, health, point_of_interest, establishment",19.0403778,73.0153413,localisy17960,ChIJGZeA1__D5zsRvaaGGvK_TnI,photos\localisy19574_1.jpg,,,,,Diagnostic Centers,
First Choice Diagnostic,"House no.0411, Flat no.502, Matoshree Sadan, Dharshana Society, Sector 20, Nerul West, Nerul, Navi Mumbai, Maharashtra 400706, India",Nerul West,Nerul,Navi Mumbai,Maharashtra,400706,+91 80977 57068,4.9,187,"point_of_interest, establishment",19.0365849,73.01388779999999,localisy17962,ChIJI3vr_MnD5zsRBHV0Bm5iTkg,photos\localisy19579_1.jpg,,,,,Diagnostic Centers,
Ashirwad Diagnostic,"Shop 20, Abhinandan Hall, West, near Manak Hospital, Sector 2, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 2,Nerul,Navi Mumbai,Maharashtra,400706,+91 90760 12590,4.9,164,"medical_clinic, health, point_of_interest, establishment",19.0438104,73.01809639999999,localisy17963,ChIJRfoypPDB5zsRNG0-TGRM0pQ,photos\localisy19582_1.jpg,,,,,Diagnostic Centers,
Dr Dange Diagnostic Centre,"Ambika shopping complex, 26, above Samadhan Restaurant, Sector 8, W, Nerul, Navi Mumbai, Maharashtra 400706, India",W,Nerul,Navi Mumbai,Maharashtra,400706,+91 80 4278 4231,3.8,57,"medical_clinic, health, point_of_interest, establishment",19.0433908,73.01494799999999,localisy17964,ChIJj7bC2ufD5zsRd7K6oEyiKu4,photos\localisy19583_1.jpg,,,,,Diagnostic Centers,
NeoHealth + Diagnostics,"Shop No. 3, Sai Corner CHS, Plot No. 01 Sector 10, behind Sai Baba Hotel, Nerul East, Nerul West, Nerul, Navi Mumbai, Maharashtra 400706, India",Nerul West,Nerul,Navi Mumbai,Maharashtra,400706,,4.6,144,"doctor, medical_clinic, health, point_of_interest, establishment",19.0401972,73.0182913,localisy17965,ChIJtRokfKTD5zsRXXMoazxEtyE,photos\localisy19584_1.jpg,,,,,Diagnostic Centers,
