Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
Auto Care,"Railway colony, opposite Ambika Nagar, Sector 1A, New Panvel East, Panvel, Maharashtra 410206, India",Sector 1A,Panvel,Panvel,Maharashtra,410206,+91 93224 02692,4.9,8,"car_repair, point_of_interest, service, establishment",18.9955005,73.1171938,localisy13892,ChIJm09Q1wDp5zsRFlPYY0opG3o,photos\localisy12635_1.jpg,,,,,Car Service,
Grand Automotive Service Centre,"Amardham Naka, Plot no 14, Panvel Industrial Co-Op Estate Rd, opposite to Garden, Sector 15, Khanda Colony, Panvel, Maharashtra 410206, India",Sector 15,Panvel,Panvel,Maharashtra,410206,+91 90043 09516,4.8,73,"car_repair, point_of_interest, service, establishment",18.9990414,73.11119599999999,localisy13894,ChIJ-TL2uu7p5zsRbyVYPIq8r8I,photos\localisy12639_1.jpg,,,,,Car Service,
Shridhar Auto Garage ( GOVT APPROVED),"S Plot no 71, Sector No-1, Sector, Rd Number 2, next to alok clinic, industrial area, New Panvel East, Panvel, Maharashtra 410206, India",industrial area,Panvel,Panvel,Maharashtra,410206,+91 98207 88878,4.8,153,"car_repair, point_of_interest, service, establishment",18.9968825,73.1169279,localisy13896,ChIJh____0To5zsReTnW1cswn2Y,photos\localisy12640_1.jpg,,,,,Car Service,
LnV Electric Vehicle Service llp,"Shop No 5, Plot No 9, Hari, Om Sai CHS, Sector-9, New Panvel East, Panvel, Maharashtra 410206, India",Sector-9,Panvel,Panvel,Maharashtra,410206,+91 97022 64387,4.4,8,"point_of_interest, service, establishment",19.0072114,73.1146974,localisy13907,ChIJt6Og4tHp5zsRC2Kl3ySoG0k,photos\localisy12656_1.jpg,,,,,Car Service,
Mt decarbonisation Center panvel,"Shope no 97/2, shekle wadi, behind dmart, Sector 5, New Panvel East, Panvel, Maharashtra 410206, India",Sector 5,Panvel,Panvel,Maharashtra,410206,+91 90295 96672,5,34,"point_of_interest, establishment",19.0056013,73.1169889,localisy13914,ChIJhwWb_Mfp5zsRqWLW52dEfQY,photos\localisy12660_1.jpg,,,,,Car Service,
Shabari Naka Auto Stand,"2429+44G, Vijay Rd, Sector 3, New Panvel East, Panvel, Maharashtra 410206, India",Sector 3,Panvel,Panvel,Maharashtra,410206,,3,3,"taxi_stand, taxi_service, transportation_service, point_of_interest, service, establishment",19.0003081,73.1178298,localisy13921,ChIJhZe3JETo5zsRo71ja1AWlP4,,,,,,Car Service,
Royal Car Accessories,"Shop No 5, 410206, Vijay Rd, beside Shree Ram kulfi, opp. satyam pride Building, Sector 4, New Panvel East, Panvel, Maharashtra 410206, India",Sector 4,Panvel,Panvel,Maharashtra,410206,+91 93210 98460,5,75,"store, point_of_interest, establishment",19.0019942,73.1173373,localisy13924,ChIJK1lYT5Pp5zsRBeZeNo4jcTQ,photos\localisy12665_1.jpg,,,,,Car Service,
Sabhir Auto Gareg,"6, Sector 4, New Panvel East, Panvel, Maharashtra 410206, India",Sector 4,Panvel,Panvel,Maharashtra,410206,+91 97692 76893,4.4,7,"car_repair, point_of_interest, service, establishment",19.0019443,73.1173027,localisy13927,ChIJf2_361_p5zsR4twOVQT5SQM,photos\localisy12667_1.jpg,,,,,Car Service,
Monu Tempo Service,"15, Vichumbe Rd, Sector 15, New Panvel East, Panvel, Maharashtra 410206, India",Sector 15,Panvel,Panvel,Maharashtra,410206,,5,1,"transportation_service, point_of_interest, establishment",18.9880707,73.12813659999999,localisy13930,ChIJxfkHp2bo5zsRpfVeb8mmOqw,,,,,,Car Service,
"Star Auto Garage, Kamothe","Rameshwar sadan,sec no 18, Shop no -03, Prabhu Apartment, plot no 29, behind Ganpati mandir, Sector 18, Kamothe, Panvel, Maharashtra 410209, India",Sector 18,Kamothe,Panvel,Maharashtra,410209,+91 87793 96423,4.6,68,"parking_garage, parking_lot, parking, transportation_service, car_repair, service, point_of_interest, establishment",19.013883,73.0891615,localisy15873,ChIJ0c2vfU3p5zsR2TGW25WFsLE,photos\localisy15549_1.jpg,,,,,Car Service,
Motul Preferred Car Garage - A1 Auto Garage,"Plot No 12/13, Shop no 22, 23, Kamothe Marg, nearby Zudio, Jui-Kamothe Sector - 36, Sector 36, Kamothe, Panvel, Maharashtra 410209, India",Sector 36,Kamothe,Panvel,Maharashtra,410209,+91 80 4698 4331,4.8,58,"parking_garage, parking_lot, parking, transportation_service, car_repair, service, point_of_interest, establishment",19.0255057,73.09219999999999,localisy15874,ChIJoRMnXQnp5zsRkGfGTa97yvg,photos\localisy15550_1.jpg,,,,,Car Service,
GoMechanic - Car Service Center Kamothe,"Sector 36 Seaface, Jui-Kamothe Sector - 36, Sector 36, Kamothe, Panvel, Maharashtra 410209, India",Sector 36,Kamothe,Panvel,Maharashtra,410209,+91 83989 70970,4.3,11,"car_wash, car_repair, service, point_of_interest, establishment",19.0254006,73.0922386,localisy15875,ChIJpypOMjDp5zsRsxmUcYjImR0,photos\localisy15551_1.jpg,,,,,Car Service,
EXPERT AUTO SERVICE CENTRE,"SWATIK PLAZA CHS LTD , SHOP, NO 17 , PLOT NO, 12/14/15, KAMOTHE, Sector 11, Kamothe, Panvel, Maharashtra 410209, India",Sector 11,Kamothe,Panvel,Maharashtra,410209,+91 91368 27846,3.4,5,"car_repair, service, point_of_interest, establishment",19.0190832,73.0905495,localisy15876,ChIJxTHmllbp5zsRmEZ9AgQOU7Y,photos\localisy15553_1.jpg,,,,,Car Service,
Urban Automobiles- Best Automobile service in Navi Mumbai,"Shop no 07, Bhoomi Sagar, Plot no 112/113, Phase II, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",Sector 22,Kamothe,Panvel,Maharashtra,410209,+91 76668 19135,3.7,6,"car_wash, car_repair, service, point_of_interest, establishment",19.0142835,73.0994606,localisy15878,ChIJ-f3qxgHp5zsR4BHwzN4pDbI,photos\localisy15556_1.jpg,,,,,Car Service,
Multibrand A1 Service Center,"Industrial Estate, Jawahar Co-op Ind, Kamothe, Panvel, Maharashtra 410206, India",Jawahar Co-op Ind,Panvel,Panvel,Maharashtra,410206,+91 85916 95240,4.6,19,"car_repair, service, point_of_interest, establishment",19.0190779,73.1007516,localisy15880,ChIJ5b9d7jnp5zsRaU_oq3FPY6c,photos\localisy15559_1.jpg,,,,,Car Service,
Car Service In Navi Mumbai,"Khanda Colony Panvel Bridge, Asudgaon, Greater Khanda, Panvel, Maharashtra 410218, India",Asudgaon,Panvel,Panvel,Maharashtra,410206,+91 83989 70970,5,2,"car_wash, auto_parts_store, car_repair, service, store, point_of_interest, establishment",19.0129854,73.10990799999999,localisy15881,ChIJnbMXfYnp5zsR2_lKRk6Qor8,photos\localisy02672_1.jpg,,,,,Car Service,
