Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
Aadhar Centre,"Shop No -06, Jumma Villa, MG Rd, Kacchi Mohalla, Old Panvel, Panvel, Maharashtra 410206, India",Kacchi Mohalla,Panvel,Panvel,Maharashtra,410206,+91 86573 68455,5,2,"point_of_interest, establishment",18.988198,73.1058673,localisy11588,ChIJ1bx1UYfp5zsRXMSWWO9m79g,photos\localisy08500_1.jpg,,,,,Aadhar Enrollment Centers,
Aadhar Seva Center,"Shop No 1 Phadke, Natya Gruh, Road, Old Panvel, Panvel, Maharashtra 410206, India",Road,Panvel,Panvel,Maharashtra,410206,,1,4,"government_office, point_of_interest, establishment",18.9873531,73.11035749999999,localisy11592,ChIJ5Znh1I3p5zsRjaL6_4AK3_s,photos\localisy08505_1.jpg,,,,,Aadhar Enrollment Centers,
AADHAR,"JK Plaza, OPPOSITE DURGAMATA MANDIR, SHIVAJI CHOWK, Panvel, JK Plaza, MTNL Rd, Old Panvel, Panvel, Maharashtra 410206, India",MTNL Rd,Panvel,Panvel,Maharashtra,410206,+91 81083 90511,4,9,"medical_clinic, health, point_of_interest, establishment",18.986825,73.112415,localisy11600,ChIJB6riW2vo5zsRoaYrSDKRYCo,photos\localisy08510_1.jpg,,,,,Aadhar Enrollment Centers,
Aadhaar Centre,"Plot No. 19, Kamothe Marg, Shalome CHS, Sector 7, Kamothe, Panvel, Maharashtra 410209, India",Sector 7,Kamothe,Panvel,Maharashtra,410209,,2.3,3,"point_of_interest, establishment",19.0233683,73.0926583,localisy11656,ChIJUQuzEwDp5zsRLkLZ8zM2hC0,,,,,,Aadhar Enrollment Centers,
H.S.P. Documentations and Co.,"Shop No. 1, H.No. 1266, near Owe Jama Masjid, Owe Gaon, Sector 30, Kharghar, Navi Mumbai, Panvel, Maharashtra 410210, India",Kharghar,Kharghar,Panvel,Maharashtra,410210,+91 98190 79426,5,30,"point_of_interest, establishment",19.0667364,73.0718873,localisy11659,ChIJBYpcAdvB5zsRKEw3R-stYDg,photos\localisy08597_1.jpg,,,,,Aadhar Enrollment Centers,
MUSKAN.COM,"KL4, Building No 90/4, beside of Neelkanth Medical, near Post Office/ Fire Brigade, Railway Quarters, Sector 4E, Kalamboli, Panvel, Maharashtra 410218, India",Sector 4E,Kalamboli,Panvel,Maharashtra,410218,+91 79779 66098,5,72,"insurance_agency, point_of_interest, service, establishment",19.0284442,73.1046738,localisy11660,ChIJ3x_yzqrp5zsRJAw4NTbU1Rk,photos\localisy18562_1.jpg,,,,,Aadhar Enrollment Centers,
ADHAR CARD CENTER / SHRADDHA GRAHAK SEVA KENDRA,"1 SHOP NO G, LIG, 50, Sector 3, Kalamboli, Panvel, Maharashtra 410218, India",Sector 3,Kalamboli,Panvel,Maharashtra,410218,+91 90049 43760,4.6,98,"point_of_interest, establishment",19.0264177,73.0983596,localisy17071,ChIJk1_PAYG_5zsRnTpCubyY07U,photos\localisy08493_1.jpg,,,,,Aadhar Enrollment Centers,
Om Sairam Enterprises kharghar - E-registration,"Haware GULMOHAR, Shop no 6 Plot no 52-56, Haware Splendor, Service Rd, Sector 20, Kharghar, Panvel, Maharashtra 410210, India",Sector 20,Kharghar,Panvel,Maharashtra,410210,+91 98211 15777,3.9,126,"travel_agency, transportation_service, association_or_organization, consultant, local_government_office, government_office, service, point_of_interest, establishment",19.0509501,73.0743888,localisy17072,ChIJ__9vZRvC5zsRiZSlCaFFPek,photos\localisy18547_1.jpg,,,,,Aadhar Enrollment Centers,
Anytime Digital eService,"Office No 116, plots no, Agrawal Trade Center, 62, Shahbaz Village, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",Sector 11,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 83697 71659,3.7,3,"internet_cafe, service, point_of_interest, establishment",19.0149869,73.0383365,localisy17073,ChIJmaJJQ_vD5zsRfIdADtFaxr4,photos\localisy17637_1.jpg,,,,,Aadhar Enrollment Centers,
Swami CSC Centre,"Navgharkul CHS, Seawoods West, Sector 48-A, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector 48-A,Seawoods,Navi Mumbai,Maharashtra,400706,+91 98201 05342,4.9,9,"consultant, service, point_of_interest, establishment",19.0142935,73.01741969999999,localisy17074,ChIJO-RidADD5zsRajoZRp4zUUg,photos\localisy17639_1.jpg,,,,,Aadhar Enrollment Centers,
"Online Suvidha Kendra, Maha E Seva Kendra Sector 10 Nerul","NL - 1 Type, Sector 10, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 10,Nerul,Navi Mumbai,Maharashtra,400706,+91 70213 00167,4.6,9,"association_or_organization, point_of_interest, establishment",19.0389512,73.0173211,localisy17078,ChIJT1zbG8DD5zsR3y0G2iIOw-U,photos\localisy17649_1.jpg,,,,,Aadhar Enrollment Centers,
Aadhar Kendra,"Shop no. 16, Arm Enclave Apartment, Plot No. 11, Navrang Rd, Sector 7, Kharghar, Panvel, Maharashtra 410210, India",Sector 7,Kharghar,Panvel,Maharashtra,410210,,1.9,44,"point_of_interest, establishment",19.0363002,73.0642087,localisy17079,ChIJYwqqBTHD5zsRKE-fP2V8MLo,photos\localisy18535_1.jpg,,,,,Aadhar Enrollment Centers,
AAdhar Card Update Centre And Other Govt Doc Related Work,"Shop No 01, SHIVAM APARTMENT CHS, Plot No 48, KAMOTHE, Moral Villa Society, Sector 18, Kamothe, Panvel, Maharashtra 410209, India",Sector 18,Kamothe,Panvel,Maharashtra,410209,+91 81693 42497,3.5,8,"point_of_interest, establishment",19.0138464,73.090557,localisy17082,ChIJLQPuNGfp5zsR61oUEBO-spM,photos\localisy08506_1.jpg,,,,,Aadhar Enrollment Centers,
Hi-TECH online services,"G-107 FIRST FLOOR, Nerul East, Nerul West, Nerul, Navi Mumbai, Maharashtra 400706, India",Nerul West,Nerul,Navi Mumbai,Maharashtra,400706,,3.7,3,"service, association_or_organization, point_of_interest, establishment",19.033277,73.018074,localisy17083,ChIJV6hhRu7D5zsRKLcn7cmMEl4,photos\localisy17657_1.jpg,,,,,Aadhar Enrollment Centers,
SADGURU MAHA E-SEVA KENDRA AND ADHAR,"Shop No.01, SHIVAM APARTMENT CHS, PLOT NO.48, Moral Villa Society, Sector 18, Kamothe, Panvel, Maharashtra 410209, India",Sector 18,Kamothe,Panvel,Maharashtra,410209,+91 81693 42497,3.9,28,"point_of_interest, establishment",19.013888,73.09055769999999,localisy17084,ChIJzQZ2dtnp5zsRFKMCcrNE-EQ,photos\localisy08498_1.jpg,,,,,Aadhar Enrollment Centers,
