Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
Skyrock International Preschool and Daycare,"R.K. Residency, Plot no 105, West, Sector 28, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 28,Nerul,Navi Mumbai,Maharashtra,400706,+91 84250 12133,4.9,32,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.0289915,73.014364,localisy06553,ChIJ8zC987zD5zsREyEuKlgBEgo,photos\localisy04164_1.jpg,,,,,Play Schools & Preschools,
Mindseed Preschool & Daycare - Seawoods,"Office No 1 - 7, 1st Floor, Plot 12, Palm Beach Rd, opp. HP Petrol Pump, Sector-48, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector-48,Seawoods,Navi Mumbai,Maharashtra,400706,+91 84339 37380,4.8,218,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.0127758,73.0139138,localisy06554,ChIJr0i_KVfD5zsR6yic8ncYDFU,photos\localisy04165_1.jpg,,,,,Play Schools & Preschools,
"Pinbell International School (Preschool & Daycare in Kharghar, Sector 12)","Landmark, indian oil petrol pump, Plot no A-71, Central park road, near Shree Dutt Mandir Road, Sector 12, Kharghar, Panvel, Maharashtra 410210, India",Sector 12,Kharghar,Panvel,Maharashtra,410210,+91 91360 10245,4.9,167,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.0458464,73.06653949999999,localisy06555,ChIJezIqCXbD5zsRz-dGstw7ws8,photos\localisy04397_1.jpg,,,,,Play Schools & Preschools,
Ginger Blue International Pre-School,"61, PATEL HERITAGE, opposite Hiranandani Crystal Plaza, Sector 7, Kharghar, Navi Mumbai, Panvel, Maharashtra 410210, India",Kharghar,Kharghar,Panvel,Maharashtra,410210,+91 98198 29823,4.8,75,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.0349772,73.06455869999999,localisy06556,ChIJeRN2XRXC5zsRB5WZwO2LSJw,photos\localisy26537_1.jpg,,,,,Play Schools & Preschools,
Cambridge Juniors Montessori Preschool Kharghar sec 19 | Best Preschool In Kharghar,"Raj Residency, Plot 26, next to Regency Crest, Kesar Symphony, Sector-19, Kharghar, Panvel, Maharashtra 410210, India",Sector-19,Kharghar,Panvel,Maharashtra,410210,+91 81045 33168,4.8,137,"preschool, farm, wholesaler, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.0472885,73.07751499999999,localisy06557,ChIJTWLIQhbD5zsRq1SHF5ZgNUs,photos\localisy17091_1.jpg,,,,,Play Schools & Preschools,
Rainbow Bridge,"Lords Bldg, “A – 602”, Sector 15, Above Croma Showroom, Palm Beach Road, Belapur, Navi, Sector 15, CBD Belapur, Mumbai, Navi Mumbai, Maharashtra 400614, India",CBD Belapur,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 93221 20655,4,1,"preschool, child_care_agency, school, educational_institution, service, point_of_interest, establishment",19.0113609,73.0345344,localisy06558,ChIJA690fanD5zsRnEYnlLTRT7Y,,,,,,Play Schools & Preschools,
"EuroKids Preschool in New Panvel, Navi Mumbai","Bungalow Plot, No. 1, Rd Number 5, Sector 01, New Panvel East, Panvel, Maharashtra 410206, India",Sector 01,Panvel,Panvel,Maharashtra,410206,+91 95131 82242,4.9,41,"preschool, child_care_agency, school, educational_institution, service, point_of_interest, establishment",18.9981223,73.1209468,localisy06624,ChIJ55wUMJDp5zsR_F1Qyb6kMoo,photos\localisy04218_1.jpg,,,,,Play Schools & Preschools,
Little Thumbs Preschool,"Madhukauns CHS, Plot-133, DAV School Lane, Sector-10, New Panvel East, Panvel, Navi Mumbai, Panvel, Maharashtra 410206, India",Panvel,Panvel,Panvel,Maharashtra,410206,+91 73040 80819,4.9,47,"preschool, child_care_agency, farm, school, educational_institution, service, wholesaler, point_of_interest, establishment",19.003021,73.123961,localisy06629,ChIJyaPWEvDp5zsR9zrIME7Z6qY,photos\localisy04223_1.jpg,,,,,Play Schools & Preschools,
Wowkids Toybox Best Preschool and Daycare New Panvel,"Sector no 12, Plot no 4, Road No. 9, near Indian oil petrol pump, Sector 12, New Panvel East, Panvel, Maharashtra 410206, India",Sector 12,Panvel,Panvel,Maharashtra,410206,+91 99301 74355,4.9,100,"preschool, child_care_agency, school, educational_institution, service, point_of_interest, establishment",18.9981757,73.1248504,localisy06633,ChIJ92VPQIzp5zsRxGAMCA_lbsQ,photos\localisy04225_1.jpg,,,,,Play Schools & Preschools,
The Learning Curve - Best Preschool & Daycare School | Nursery & Playgroup School | Kindergarten School,"Triveni Bungalow, Plot No 03, Rd Number 6, nearby CIDCO Fire Station, Sector 19, New Panvel East, Panvel, Maharashtra 410206, India",Sector 19,Panvel,Panvel,Maharashtra,410206,+91 80 3701 6785,4.8,83,"preschool, child_care_agency, school, educational_institution, service, point_of_interest, establishment",18.9967157,73.12043229999999,localisy06635,ChIJ1aCSF0Po5zsRB0pMhBkRWS0,photos\localisy04226_1.jpg,,,,,Play Schools & Preschools,
