Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
PUFFRIES,"Shop No. 18, Shelter Riverside, Plot No. 114-115-116, Sector 14 Rd, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,7710053828,4.7,27,"fast_food_restaurant, restaurant, point_of_interest, food, establishment",19.0752738,73.0944636,localisy010981,ChIJycc2443r5zsRoD24xuto75U,photos\localisy00455_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
Om Panchratana,"335X+64W, National Highway, 4, Navde, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,3.6,34,"restaurant, point_of_interest, food, establishment",19.058116400000003,73.09782129999999,localisy010982,ChIJ-XxJQfjp5zsResoxugFNG_M,photos\localisy00458_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
Freshwich,"Shop No.6, Dream City CHS, Plot No.41, opposite pethali metro station, Sector 11, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.9,9,"sandwich_shop, restaurant, point_of_interest, food, establishment",19.0746961,73.0914976,localisy010983,ChIJnZ7OfQDr5zsR-s1ywp0yzd4,photos\localisy00459_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
Metro Spicy,"Shop No 1, Sagar Vihar CHS, Rural), Raigad, SEC-11, Taloja Phase 1 Rd, Petali, Taloja Panchanand, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9834167163,3.5,21,"chinese_restaurant, restaurant, food, point_of_interest, establishment",19.075209,73.09132579999999,localisy010984,ChIJ9_-2vnvr5zsRzwVj5SNxjGw,photos\localisy00463_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
Soda Ghar,"2A, Premier residency, Plot no. 1, Sector 14 Rd, Taloja Phase 1, Taloja Panchanand, Petali, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.9,16,"restaurant, food, point_of_interest, establishment",19.076924599999998,73.09314979999999,localisy010985,ChIJ1zMLPwDr5zsRLJ8kbmQXPzU,photos\localisy00465_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
daily fresh atta,"taloja sector 34, Taloja Phase 2, anad sagar, navi mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9653108911,5,4,"manufacturer, food, point_of_interest, establishment",19.067994300000002,73.106873,localisy010986,ChIJSysM7jTr5zsRIeb33z86GYo,photos\localisy00469_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
FOOD STREET,"Shop No 5, NEELGIRI CHS, near PIZZA HUTT, Sector 4, New Panvel East, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,9152205220,4,50,"food_court, food, point_of_interest, establishment",19.003137400000004,73.1169822,localisy010987,ChIJhYEm3S7p5zsRAJGoIRBjUZ8,photos\localisy09603_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
Sana Seekh Paratha,"Shop No 1, Bus Stop, near Taloja Phase 1 Road, Petali, Taloja Panchanand, Sector 13, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9321217655,3.6,8,"fast_food_restaurant, restaurant, food, point_of_interest, establishment",19.0761115,73.0925453,localisy010988,ChIJ-_SMU2Dr5zsRUl60XcDxfLk,photos\localisy00471_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
SPICY AND HOT CHINESE CORNER,"339W+73X, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.4,5,"chinese_restaurant, restaurant, food, point_of_interest, establishment",19.0682254,73.0952196,localisy010989,ChIJ71BoHS7r5zsRwpbL60btHos,photos\localisy00473_1.jpg,,,,,Food & Restaurants,Street Food,Taloja
Charcoal Eats - Taloja,"Sai Tulip, Plot No 16, Sector 17, Taloja Panchanand, Taloja Phase 2, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9022500500,3,2,"restaurant, food, point_of_interest, establishment",19.073426899999998,73.0955148,localisy010990,ChIJk_mP51rr5zsR5TdrbE-Bueg,,,,,,Food & Restaurants,Street Food,Taloja
