Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
Noble School & Junior Collage,"33CQ+285, Mannan colony, Taloje Panchanand, Sector 40, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,,,"school, educational_institution, point_of_interest, establishment",19.0696762,73.0884925,localisy012643,ChIJd8zXRyzr5zsRrbv5r8zIsMo,photos\localisy03996_1.jpg,,,,,Education & Training,Schools,Taloja
National Urdu High School Taloja,"338P+XJP, near Madni masjid, Taloje Panchanand, Sector 40, Taloja, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,,,,"school, educational_institution, point_of_interest, establishment",19.0674501,73.086574,localisy012644,ChIJrWM6pP3B5zsRe3ii4IAhMIc,photos\localisy03997_1.jpg,,,,,Education & Training,Schools,Taloja
Sunflower Kids Play School,"Shubham Residency, plot 3, Sector 14 Rd, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9321270009,4.9,22,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.076527799999997,73.09420589999999,localisy012645,ChIJq6qqpQ7q5zsRefXlIgrD1gc,photos\localisy17105_1.jpg,,,,,Education & Training,Schools,Taloja
SUNSHINE INTERNATIONAL SCHOOL,"kohinoor palace H.No.1441 Wavanje, Taloja, Tal, Panvel, Vavanje, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8108614848,4.4,7,"educational_institution, point_of_interest, establishment",19.0834937,73.1527181,localisy012646,ChIJtTqcR-br5zsRuTBSL4KcXfk,photos\localisy04000_1.jpg,,,,,Education & Training,Schools,Taloja
My Chhota School Taloja 2,"Plot no 22, 23, Sector 23, Taloja Panchanand, Taloja Phase 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,,,"primary_school, school, educational_institution, point_of_interest, establishment",19.0700552,73.09838859999999,localisy012647,ChIJ-wTmg8Xr5zsRZXYKDdk6UxM,,,,,,Education & Training,Schools,Taloja
RAIGAD INTERNATIONAL school,"Koyana Velhe, Ghotkamp Koyana Vele, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8169568369,,,"school, educational_institution, point_of_interest, establishment",19.0785171,73.1102228,localisy012648,ChIJYXyO0IHr5zsRIu_nNfac4xc,photos\localisy04002_1.jpg,,,,,Education & Training,Schools,Taloja
A. B. Pre-Primary School,"Dr. A. P. J. Pre-Primary School, Shop no 5, Marwa CHS, L-10, Taloja Panchanand, Taloja Phase 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9529335173,5,1,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.069380900000002,73.1009687,localisy012649,ChIJZRjZy0jr5zsR1VEaJqrvtfA,photos\localisy04003_1.jpg,,,,,Education & Training,Schools,Taloja
P J MHATRE VIDYALAY NAVADE,"3432+546, Navde, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,,,"primary_school, school, educational_institution, point_of_interest, establishment",19.0529232,73.1002556,localisy012650,ChIJCycEmPDp5zsR2w_8-XjLEbw,photos\localisy04004_1.jpg,,,,,Education & Training,Schools,Taloja
Speakwell Taloja. India's no. 1 English Spoken Classes,"14, Shelter Riverside CHS, Taloja Phase 1 Rd, Sector 14, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9323222335,4.8,56,"corporate_office, summer_camp_organizer, educational_institution, health, point_of_interest, service, establishment",19.0754815,73.09445579999999,localisy012651,ChIJsZSbYqrr5zsRCyV7F_cML6Q,photos\localisy01537_1.jpg,,,,,Education & Training,Schools,Taloja
SMART KIDS PRE SCHOOL,"UMA PARADISE ,SECTOR 9, PLOT NO-19,SHOP, 3,4, Taloja Phase 1 Rd, Petali, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,5,"preschool, school, educational_institution, child_care_agency, point_of_interest, service, establishment",19.0779809,73.09339,localisy012652,ChIJYyrbW_nr5zsRDOD-l2LNEDA,,,,,,Education & Training,Schools,Taloja
