Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
Medi Zone Diagnostic Centre,"Shop No 11, Om Shivam Arjun Block-C, Om Shivam Arjun, Sector 18, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,6392946827,5,6,"medical_clinic, health, point_of_interest, establishment",19.0120511,73.08929359999999,localisy019305,ChIJs72nlujp5zsR68ng3mkpox8,photos\localisy13634_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Relife Diagnostics Center Kamothe,"Shop No. 03, Gandhar Chs, Plot No. 196, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"medical_clinic, health, point_of_interest, establishment",19.014449,73.09723799999999,localisy019306,ChIJW-Vcjbrp5zsRghAJ1aDObzw,photos\localisy13635_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
AVP HEALTHCARE UNIT 2 KAMOTHE,"23CQ+8MV, Kamothe Marg, Sector 35, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9619937177,2.2,26,"medical_clinic, health, point_of_interest, establishment",19.0208546,73.089186,localisy019307,ChIJO53FOdbp5zsRNu7DGrGpkF4,,,,,,Health & Medical,Diagnostic Centers,Kamothe
Rubi Diagnostics,"Shop no.08, Shubh Nil Shivam, Sector 11, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,4.8,4,"medical_clinic, health, point_of_interest, establishment",19.0192118,73.0919086,localisy019308,ChIJq3MeGADp5zsR2fFruvZ3PSE,photos\localisy13637_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
SIMIRA UNIPATH DIAGNOSTICS CENTER PROCESSING LABAROTARY - KHANDA COLONY,"Office No. 405, 4th Floor, Bhoomi LandMark, Plot No. 34/35A, Sector 17, Khanda Colony, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,7790098009,4.9,2370,"medical_lab, doctor, medical_clinic, health, point_of_interest, establishment",19.005797899999997,73.1070587,localisy019309,ChIJi_o1i-Tp5zsRgiQ2VNRh2b4,photos\localisy00553_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
SIMIRA UNIPATH DIAGNOSTICS - NEW PANVEL,"001/1, Madhu Apartment, Plot no -1, Sector 11, New Panvel East, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,7790098009,4.9,8040,"medical_lab, doctor, medical_clinic, health, point_of_interest, establishment",18.999401499999998,73.1261888,localisy019310,ChIJz7JnCYHp5zsRQ18uCEVb19Q,photos\localisy00555_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Ashtavinayak Diagnostic Center,"10, Khanda Colony, New Panvel, Kamothe, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,9820344697,4.8,4,"medical_clinic, health, point_of_interest, establishment",19.010453,73.109758,localisy019311,ChIJ5WlhrDfo5zsRnSXRs1vqO30,photos\localisy00579_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
ByHeart PathLabs Blood Collection Centre Sector 36 Kamothe Navi Mumbai,"Shop no. 07, Soormalhar CHS, Plot no. 43, opposite Tukaram Maharaj Temple, Nirmala CHS, Sector 36, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7400294199,4.9,33,"doctor, health, point_of_interest, establishment",19.023974,73.088787,localisy019312,ChIJC6rUH8rp5zsR-sn0KicCLPE,photos\localisy13643_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Thyrocare Aarogyam Center,"Shop No. 3, Sai Villa, Plot No. 82, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,8074835966,4.2,11,"medical_clinic, health, point_of_interest, establishment",19.014022,73.0946297,localisy019313,ChIJYeix0Kbp5zsRvMyqNaza6wE,photos\localisy13644_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Kaushalya Diagnostic Blood Lab.,"A-1, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,5,12,"health, point_of_interest, establishment",19.014364,73.10338399999999,localisy019314,ChIJ2_hFDQDp5zsRAD6zRBWsWd4,photos\localisy13645_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Metrocare Polyclinic & Diagnostic,"Shop No 3, Grandeur Blg, Plot 33 And 34, Sect 20, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9146080199,4.7,15,"wellness_center, health, point_of_interest, establishment",19.0153379,73.0952891,localisy019315,ChIJT0kpZ8fp5zsRMTKdkGOlrSs,photos\localisy13646_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Impact Diagnostic,"F-45/32, Kamal Kunj, 33, Shiwaji Chowk, Block G, Sector 12, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,,3.4,72,"medical_clinic, health, point_of_interest, establishment",19.0428297,73.06732459999999,localisy019316,ChIJP8QZ_hbC5zsRfI6uVk3i8g0,photos\localisy13650_1.jpg,,,,,Health & Medical,Diagnostic Centers,Kamothe
Vishwaprabha Physiothearapy & Yoga Centre,"Shop 11_12, Gurudev chs, Plot 27, Sector 20, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9821698678,5,198,"yoga_studio, fitness_center, sports_complex, gym, sports_activity_location, sports_school, medical_clinic, health, point_of_interest, establishment",19.016436199999998,73.0962081,localisy019317,ChIJG50xBNPp5zsRRzUGvCXQAQA,photos\localisy00641_1.jpg,,,,,Health & Medical,Physiotherapy,Kamothe
Physio Junction Physiotherapy Clinic,"Shop No 3, Surbhi CHS, Plot no 11/12, opposite of SBI bank, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9869171321,5,52,"medical_clinic, health, point_of_interest, establishment",19.012789299999998,73.09714149999999,localisy019318,ChIJo1477fjp5zsR-eCaiIMB438,photos\localisy00659_1.jpg,,,,,Health & Medical,Physiotherapy,Kamothe
MobiCare Physiotherapy & Rehab,"1st Floor, BLOCK-C, CHS, Sector 16, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7506296479,4.9,33,"physiotherapist, health, point_of_interest, establishment",19.016176299999998,73.0900024,localisy019319,ChIJn9BdTb3p5zsRw1NVVLtS_Sc,photos\localisy10614_1.jpg,,,,,Health & Medical,Physiotherapy,Kamothe
DR VRUCHIKA KAMBLE PHYSIOTHERAPIST,"Sector 7, Kamothe, Panvel, Navi Mumbai, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9082580492,5,3,"physiotherapist, health, point_of_interest, establishment",19.021821499999998,73.0907,localisy019320,ChIJnyNGTCHp5zsRjLxb4HxDvIs,photos\localisy13669_1.jpg,,,,,Health & Medical,Physiotherapy,Kamothe
EliteFlex Physiotherapy & Rehabilitation,"Shop No.04, Park Heaven CHS, Plot No.205 & 206, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7021906440,4.9,67,"medical_clinic, health, point_of_interest, establishment",19.014768999999998,73.0976854,localisy019321,ChIJl74vFoXp5zsREzb32LGfimM,photos\localisy00661_1.jpg,,,,,Health & Medical,Physiotherapy,Kamothe
